<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;60;20180129;110000;247.5000000;248.7000000;246.0000000;247.4000000;8051290
SBER;60;20180129;120000;247.4000000;248.8500000;247.4000000;248.7300000;5824050
SBER;60;20180129;130000;248.7100000;248.8000000;248.4200000;248.6500000;2637770
SBER;60;20180129;140000;248.6500000;250.5100000;248.5000000;250.3000000;9276150
SBER;60;20180129;150000;250.3800000;250.7900000;249.5500000;249.9100000;6042300
SBER;60;20180129;160000;249.8600000;250.1800000;248.9300000;249.5700000;2822960
SBER;60;20180129;170000;249.5400000;250.4000000;249.2000000;250.3900000;2169120
SBER;60;20180129;180000;250.4000000;250.4800000;248.9000000;250.2200000;5749800
SBER;60;20180129;190000;250.1900000;250.6000000;249.3000000;250.4800000;6603720
SBER;60;20180130;110000;248.5300000;249.8900000;247.9100000;249.8800000;6276410
SBER;60;20180130;120000;249.8400000;254.7200000;249.7100000;254.2900000;14509910
SBER;60;20180130;130000;254.2800000;258.1000000;254.2300000;256.9100000;14378320
SBER;60;20180130;140000;256.9200000;257.4400000;255.0100000;256.9100000;6068500
SBER;60;20180130;150000;256.8600000;258.0000000;256.6200000;257.8600000;5770230
SBER;60;20180130;160000;257.8600000;258.9600000;257.1000000;257.7100000;4854050
SBER;60;20180130;170000;257.6900000;257.8800000;257.0000000;257.6900000;3055820
SBER;60;20180130;180000;257.6400000;257.9300000;256.6500000;256.8800000;4852430
SBER;60;20180130;190000;256.9200000;258.2000000;256.5500000;257.8000000;5699780
SBER;60;20180131;110000;257.5000000;261.4400000;255.7000000;260.8200000;14330070
SBER;60;20180131;120000;260.8200000;263.2900000;260.5500000;262.5500000;11472470
SBER;60;20180131;130000;262.5500000;263.2000000;261.9000000;262.2900000;5206740
SBER;60;20180131;140000;262.2900000;262.7000000;260.9400000;261.0900000;4575070
SBER;60;20180131;150000;261.0900000;264.3900000;260.9500000;263.4000000;6458530
SBER;60;20180131;160000;263.4000000;263.6900000;263.0000000;263.3100000;3109150
SBER;60;20180131;170000;263.2900000;264.4900000;262.5300000;264.4000000;6462490
SBER;60;20180131;180000;264.3900000;264.4900000;263.5500000;264.1700000;4428410
SBER;60;20180131;190000;264.1700000;264.7900000;263.7600000;264.5000000;7618950
